0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:59:32 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:59:32 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:59:32 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:59:32 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 200 107659
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:59:50 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4427
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:00:10 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:00:10 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:00:13 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:00:13 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:00:13 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:00:13 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:00:13 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:00:13 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 200 107659
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:05:12 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4282
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:05:12 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:05:12 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:05:12 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:05:12 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:05:12 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 200 107659
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:06:21 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4254
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:06:21 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:06:21 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:06:21 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:06:21 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [21/Feb/2021:15:06:21 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 200 107659
